trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.6, 'e': 0.46122196741809546}",20,3,5.381957271418338,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.6, 'e': 0.4566097477439145}",25,8,28.93036343403071,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.6, 'e': 0.45204365026647536}",20,13,13.628701376119462,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.6, 'e': 0.4475232137638106}",20,0,-19.380113918182644,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
81,False,"{'a': 0.6, 'e': 0.4430479816261725}",30,22,-26.49335113855143,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.6, 'e': 0.43861750180991077}",25,0,36.81740472798411,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.6, 'e': 0.43423132679181164}",30,10,25.018538678154194,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.6, 'e': 0.4298890135238935}",20,2,7.591375356457521,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.6, 'e': 0.4255901233886546}",25,6,-8.500839420424525,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.6, 'e': 0.421334222154768}",30,0,32.0647194287051,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.6, 'e': 0.41712087993322033}",20,3,11.159300875903144,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.6, 'e': 0.41294967113388814}",25,3,18.44250904126061,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.6, 'e': 0.40882017442254925}",20,14,9.229318882330023,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.6, 'e': 0.4047319726783238}",20,10,8.696423048952507,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.6, 'e': 0.40068465295154054}",20,0,8.081481939391518,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.6, 'e': 0.3966778064220251}",20,4,-44.4631183785385,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.6, 'e': 0.39271102835780486}",20,0,17.877552397695855,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
